"ID","lugar_emplazamiento_propiedad","denominacion","espacio_de_memoria","ubicacion","lon","lat"
1109,"HOSPITAL PÚBLICO","HOSPITAL REGIONAL DE NEUQUÉN",FALSE,"BUENOS AIRES 450 · NEUQUÉN · CONFLUENCIA · NEUQUÉN",-68.0573923,-38.9502143
1110,"GENDARMERÍA NACIONAL","ESCUADRÓN 33 ""SAN MARTÍN DE LOS ANDES"" DE GENDARMERÍA NACIONAL",FALSE,"GRAL. ROCA 901 · SAN MARTÍN DE LOS ANDES · LÁCAR · NEUQUÉN",-71.3502035,-40.1555067
1112,"EJÉRCITO","REGIMIENTO DE INFANTERÍA DE MONTAÑA 26                              UNIDAD DE COMANDO ÁREA 523",FALSE,"Ruta Nac. Nº 234 s/nº · JUNÍN DE LOS ANDES · HUILICHES · NEUQUÉN",-65.5995798,-22.1055695
1114,"POLICÍA PROVINCIAL","DESTACAMENTO POLICIAL DE GÜER AIKE",FALSE,"RÍO GALLEGOS · GÜER AIKE · SANTA CRUZ",-69.2168291,-51.6230485
1115,"POLICÍA PROVINCIAL","COMISARÍA 3ª DE FORMOSA",FALSE,"CNEL. BOGADO 799 · FORMOSA · FORMOSA",-58.177251,-26.174168
1117,"POLICÍA PROVINCIAL","COMISARÍA 2ª DE RÍO GALLEGOS",FALSE,"RÍO GALLEGOS · GÜER AIKE · SANTA CRUZ",-69.2168291,-51.6230485
1118,"POLICÍA PROVINCIAL","COMISARÍA DE CAFAYATE",FALSE,"CAFAYATE · SALTA",-65.976052,-26.0730798
1119,"POLICÍA PROVINCIAL","COMISARÍA DE METÁN",FALSE,"METÁN · SALTA",-64.9721298,-25.4942245
1120,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE RÍO GALLEGOS",FALSE,"RÍO GALLEGOS · GÜER AIKE · SANTA CRUZ",-69.2168291,-51.6230485
1121,"SERVICIO PENITENCIARIO FEDERAL","UNIDAD PENAL 15 DE RÍO GALLEGOS",FALSE,"Av. ROCA 154 · RÍO GALLEGOS · GÜER AIKE · SANTA CRUZ",-69.2168291,-51.6230485
1122,"POLICÍA PROVINCIAL","CUARTEL GUARDIA RURAL ""LOS PUMAS""",FALSE,"SANTA FELICIA · VERA · SANTA FE",-60.7238016,-31.5855109
1123,"POLICÍA FEDERAL","COMISARÍA 3ª DE CAPITAL FEDERAL",FALSE,"TUCUMÁN 1560 · San Nicolás · CAPITAL FEDERAL",-58.388869,-34.6017839
1124,"POLICÍA PROVINCIAL","COMISARÍA 2ª DE SANTA FE",FALSE,"Av. GRAL. LÓPEZ 3101 · SANTA FE · LA CAPITAL · SANTA FE",-60.7161748,-31.6559367
1125,"HOSPITAL MILITAR ( EJÉRCITO)","HOSPITAL MILITAR ""SALTA""",FALSE,"Av. ARENALES y MARTÍN CORNEJO s/nº · SALTA · CAPITAL · SALTA",-65.4064452,-24.7713765
1126,"POLICÍA PROVINCIAL","CUERPO MOTORIZADO DE VIGILANCIA DE LA POLICÍA DE MENDOZA",FALSE,"FRANCISCO DE LA RETA y VIAMONTE · SAN JOSÉ · GUAYMALLÉN · MENDOZA",-68.8250539,-32.8930691
1127,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE QUILMES",FALSE,"LEANDRO N. ALEM esq. SARMIENTO · QUILMES · BUENOS AIRES",-58.2530201,-34.7209045
1128,"POLICÍA PROVINCIAL","COMISARÍA DE ACHERAL",FALSE,"ACHERAL · MONTEROS · TUCUMÁN",-65.4682391,-27.1203839
1129,"POLICÍA PROVINCIAL","COMISARÍA DE SAN JUSTO",FALSE,"SAN JUSTO · SANTA FE",-60.5935165,-30.7893901
1130,"POLICÍA PROVINCIAL","COMISARÍA DE VERA",FALSE,"VERA · SANTA FE",-60.2149272,-29.4593067
1131,"POLICÍA PROVINCIAL","COMISARÍA 11ª DE SANTA FE",FALSE,"ARISTÓBULO DEL VALLE 4806 · SANTA FE · LA CAPITAL · SANTA FE",-60.699325,-31.6236742
1133,"HOSPITAL PÚBLICO","HOSPITAL CENTRAL DE ROSARIO",FALSE,"MORENO y LA RIOJA · ROSARIO · SANTA FE",-60.6713945,-32.9394673
1134,"HOSPITAL PÚBLICO","HOSPITAL ""DR. MARCELINO FREYRE""",FALSE,"OLIVÉ 1159 · ROSARIO · SANTA FE",-60.677525,-32.9138393
1135,"ESTABLECIMIENTO EDUCATIVO PRIVADO","INSTITUTO ""CEFERINO NAMUNCURÁ""",FALSE,"Av. FUERZA AÉREA 1825 · FUNES · ROSARIO · SANTA FE",-60.8140807,-32.9292022
1136,"SERVICIO PENITENCIARIO PROVINCIAL","UNIDAD PENAL 4 DE SANTA FE (INSTITUTO DE RECUPERACIÓN DE MUJERES)",FALSE,"URUGUAY 2663 · SANTA FE · LA CAPITAL · SANTA FE",-60.697294,-31.6106578
1140,"ESTABLECIMIENTO EDUCATIVO","ESCUELA DE TIMBÓ VIEJO",FALSE,"TIMBÓ VIEJO · BURRUYACÚ · TUCUMÁN",-65.134535,-26.686472
1142,"PARTICULAR (VIVIENDA O SIMILAR)","CASA OPERATIVA EN VILLA GRAN PARQUE (CASA-QUINTA)",FALSE,"Camino a Jesús María Km 6 _ Ruta Nac. Nº 9 · Villa Gran Parque (Guiñazú) · CÓRDOBA · CAPITAL · CÓRDOBA",NA,NA
1143,"SIN ESTABLECER PROPIEDAD","LA PERRERA",FALSE,"CHILE entre EJÉRCITO DE LOS ANDES y Av. ESPAÑA · SAN LUIS · LA CAPITAL · SAN LUIS                                                                     ""PERTENECÍA AL FERROCARRIL""",-66.3482166,-33.2942167
1144,"ESTABLECIMIENTO EDUCATIVO","ESCUELA ""ÁLVAREZ CONDARCO""",FALSE,"TOMÁS GUIDO s/nº · PARANÁ · ENTRE RÍOS",-60.5334522,-31.7515022
1145,"SERVICIO PENITENCIARIO PROVINCIAL","UNIDAD PENITENCIARIA 6 DE PARANÁ (CÁRCEL DE MUJERES)",FALSE,"PARANÁ · ENTRE RÍOS",-60.5115471,-31.7413197
1146,"SERVICIO PENITENCIARIO PROVINCIAL","UNIDAD PENITENCIARIA 1 DE PARANÁ (""UNIDAD FAMILIAR"")",FALSE,"PARANÁ · ENTRE RÍOS",-60.5115471,-31.7413197
1147,"PARTICULAR (VIVIENDA O SIMILAR)","CASA-QUINTA (CASCO DE ESTANCIA)",FALSE,"PADRE PASCUAL UVA entre MOISÉS LEBENSOHN y GRAL. ESPEJO · PARANÁ · ENTRE RÍOS",-60.545323,-31.7729146
1150,"POLICÍA PROVINCIAL","COMISARÍA 2ª DE POSADAS",FALSE,"Av. TAMBOR DE TACUARÍ 490 · POSADAS · CAPITAL · MISIONES",-55.9291023,-27.3675237
1151,"POLICÍA PROVINCIAL","COMISARÍA DE ARISTÓBULO DEL VALLE",FALSE,"ARISTÓBULO DEL VALLE · CAINGUÁS · MISIONES",-54.8935263,-27.0956103
1152,"POLICÍA PROVINCIAL","COMISARÍA DE JARDÍN AMÉRICA",FALSE,"JARDÍN AMÉRICA · SAN IGNACIO · MISIONES",-55.2307281,-27.0398571
1153,"POLICÍA PROVINCIAL","COMISARÍA DE BONPLAND",FALSE,"BONPLAND · CANDELARIA · MISIONES",-55.4778921,-27.4835052
1154,"POLICÍA PROVINCIAL","COMISARÍA DE PUERTO RICO",FALSE,"PUERTO RICO · LIB. GRAL. SAN MARTÍN · MISIONES",-55.0240801,-26.8063572
1155,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE ELDORADO",FALSE,"ELDORADO · MISIONES",-54.6369172,-26.4068823
1156,"POLICÍA PROVINCIAL","COMISARÍA DE LEANDRO N. ALEM",FALSE,"LEANDRO N. ALEM · MISIONES",-55.323688,-27.602819
1157,"POLICÍA PROVINCIAL","COMISARÍA DE CAMPO GRANDE",FALSE,"CAMPO GRANDE · CAINGUÁS · MISIONES",-54.9787679,-27.206181
1158,"POLICÍA PROVINCIAL","COMISARÍA DE OBERÁ",FALSE,"OBERÁ · MISIONES",-55.1203326,-27.4867802
1159,"GENDARMERÍA NACIONAL","ESCUADRÓN 9 ""OBERÁ"" DE GENDARMERÍA NACIONAL",FALSE,"Av. LIBERTAD 929 · OBERÁ · MISIONES",-55.1092124,-27.4894341
1160,"SERVICIO PENITENCIARIO PROVINCIAL (PREDIO)","EX CÁRCEL DE POSADAS",FALSE,"AYACUCHO entre ENTRE RÍOS y CATAMARCA (frente a Plaza San Martín) · POSADAS · CAPITAL · MISIONES",-60.4956461,-31.7746654
1161,"PARTICULAR (VIVIENDA O SIMILAR)","CHACRA FAMILIA OLIVERA",FALSE,"Paraje Mavalle · ARISTÓBULO DEL VALLE · CAINGUÁS · MISIONES",-54.8935263,-27.0956103
1162,"POLICÍA PROVINCIAL","EX DIRECCIÓN DE INVESTIGACIONES DE LA POLICÍA DE ENTRE RÍOS",FALSE,"GRAL. JUSTO JOSÉ DE URQUIZA 1214 · PARANÁ · ENTRE RÍOS",-60.5329721,-31.7312768
1163,"POLICÍA PROVINCIAL","COMISARÍA 17ª DE ROSARIO (FISHERTON)",FALSE,"Av. CÓRDOBA y Bv. WILDE (o DONADO 947) · FISHERTON · ROSARIO · SANTA FE",-60.739173,-32.922147
1164,"POLICÍA PROVINCIAL","COMISARÍA 4ª DE CONCORDIA",FALSE,"CONCORDIA · ENTRE RÍOS",-58.017434,-31.3913921
1166,"GENDARMERÍA NACIONAL","ESCUADRÓN 6 ""CONCEPCIÓN DEL URUGUAY"" DE GENDARMERÍA NACIONAL",FALSE,"SUIPACHA 1500 · CONCEPCIÓN DEL URUGUAY · URUGUAY · ENTRE RÍOS",-58.2449918,-32.4925764
1168,"POLICÍA PROVINCIAL","DESTACAMENTO DE EL NIHUIL",FALSE,"EL NIHUIL · SAN RAFAEL · MENDOZA",-68.6725891,-35.0287764
1169,"POLICÍA PROVINCIAL","DESTACAMENTO DE AGUA DEL TORO",FALSE,"25 DE MAYO · SAN RAFAEL · MENDOZA",-68.5457268,-34.5856527
1170,"POLICÍA PROVINCIAL","UNIDAD REGIONAL IV DE MAIPÚ",FALSE,"MAIPÚ · MENDOZA",-68.7895478,-32.9584934
1171,"EJÉRCITO","CAMPAMENTO DE ACARAGUÁ",FALSE,"Ruta Prov. Nº 8 (a orillas del Arroyo Acaraguá) · 25 DE MAYO · MISIONES",-55.1116092,-27.4814428
1172,"POLICÍA PROVINCIAL","COMISARÍA DE LOS HELECHOS",FALSE,"LOS HELECHOS · OBERÁ · MISIONES",-55.065774,-27.5545593
1173,"POLICÍA PROVINCIAL","COMISARÍA 6ª DE PARANÁ",FALSE,"Av. EJÉRCITO 1681 · PARANÁ · ENTRE RÍOS",-60.5363996,-31.7466704
1176,"POLICÍA PROVINCIAL","COMISARÍA DE SAN VICENTE",FALSE,"SAN VICENTE · GUARANÍ · MISIONES",-54.4820017,-26.9954037
1177,"POLICÍA PROVINCIAL","COMISARÍA DE MONTECARLO",FALSE,"MONTECARLO · MISIONES",-54.7413116,-26.5716167
1179,"POLICÍA PROVINCIAL","ALCAIDÍA DE MUJERES DE POSADAS",FALSE,"BUENOS AIRES al 2400 (contigua a División de Informaciones) · POSADAS · CAPITAL · MISIONES",-58.3815591,-34.6036844
1182,"HOSPITAL PÚBLICO","HOSPITAL ""ÁNGEL C. PADILLA""",FALSE,"ALBERDI 550 · SAN MIGUEL DE TUCUMÁN · CAPITAL · TUCUMÁN",-65.2158627,-26.8363011
1183,"EJÉRCITO","ESCUADRÓN DE EXPLORACIÓN DE CABALLERÍA BLINDADO 3                             UNIDAD DE COMANDO ÁREA 245",FALSE,"SANTO TOMÉ · CORRIENTES",-56.0452135,-28.5524101
1186,"POLICÍA PROVINCIAL","COMISARÍA DE CALEUFÚ",FALSE,"CALEUFÚ · RANCUL · LA PAMPA",-64.5586583,-35.5946338
1187,"EJÉRCITO (PREDIO MILITAR)","TIRO FEDERAL DE SANTA ROSA",FALSE,"Ruta Nac. Nº 5 · Villa Amalia / Villa Martita · SANTA ROSA · CAPITAL · LA PAMPA",-64.2510875,-36.6195879
1188,"ESTABLECIMIENTO PRIVADO","CAMPO DE DEPORTES DE LA FÁBRICA ""FORD""",FALSE,"Av. HENRY FORD y Ruta Nac. Nº 9 (Colectora Este) · GRAL. PACHECO · TIGRE · BUENOS AIRES",-58.6449983,-34.4794434
1189,"EJÉRCITO","BASE MILITAR EN SAN JAVIER",FALSE,"SAN JAVIER · YERBA BUENA · TUCUMÁN",-65.3087722,-26.8173794
1190,"HOSPITAL MILITAR ( EJÉRCITO)","HOSPITAL MILITAR ""TUCUMÁN""",FALSE,"ITALIA y VIAMONTE · SAN MIGUEL DE TUCUMÁN · CAPITAL · TUCUMÁN",-65.2375268,-26.8087963
1191,"ESTABLECIMIENTO PRIVADO","BASE MILITAR EN CITRÍCOLA ""SAN MIGUEL""",FALSE,"FAMAILLÁ · TUCUMÁN",-65.4021683,-27.0560551
1192,"POLICÍA PROVINCIAL","COMISARÍA 5ª DE VICENTE LÓPEZ (BALNEARIO)",FALSE,"Av. DEL LIBERTADOR 1085 · VICENTE LÓPEZ · BUENOS AIRES",-58.4722254,-34.5239444
1193,"POLICÍA PROVINCIAL","COMISARÍA 5ª DE TRES DE FEBRERO (EUFRASIO ÁLVAREZ)",FALSE,"Av. BERNABÉ MÁRQUEZ 1480 (y SAN GUILLERMO) · EUFRASIO ÁLVAREZ · LOMA HERMOSA · TRES DE FEBRERO · BUENOS AIRES",-58.5980942,-34.5772901
1194,"ESTABLECIMIENTO EDUCATIVO","ESCUELA Nº 380 DE LAS MESADAS",FALSE,"LAS MESADAS · MONTEROS · TUCUMÁN",-65.4963303,-27.1639576
1195,"POLICÍA PROVINCIAL","COMISARÍA 2ª DE SAN FERNANDO (VIRREYES)",FALSE,"Av. SOBREMONTE 2631 · VIRREYES · SAN FERNANDO · BUENOS AIRES",-58.5520338,-34.4555519
1197,"POLICÍA PROVINCIAL","COMISARÍA DE TRANCAS",FALSE,"Av. HIPÓLITO YRIGOYEN 599 (dirección actual) · VILLA TRANCAS · TRANCAS · TUCUMÁN",-65.2809366,-26.2318663
1198,"ESTABLECIMIENTO PRIVADO","BASE MILITAR EN INGENIO ""SANTA ROSA""",FALSE,"SANTA ROSA · MONTEROS · TUCUMÁN",-65.5261826,-27.2198231
1199,"EJÉRCITO","LAS CASITAS (GUARNICIÓN MILITAR DE CAMPO DE MAYO)",FALSE,"CAMPO DE MAYO · SAN MIGUEL (ex GRAL. SARMIENTO) · BUENOS AIRES                                                                                COMANDO DE INSTITUTOS MILITARES",-58.6550672,-34.5586099
1200,"EJÉRCITO","PRISIÓN MILITAR DE ENCAUSADOS ""CAMPO DE MAYO""",FALSE,"Av. GRAL. CAMILO IDEOATE s/nº · CAMPO DE MAYO · SAN MIGUEL (ex GRAL. SARMIENTO) · BUENOS AIRES                                                COMANDO DE INSTITUTOS MILITARES",-58.6466901,-34.5307016
1201,"POLICÍA PROVINCIAL","COMISARÍA DE LASTENIA",FALSE,"REPÚBLICA y TORNQUINST (dirección actual) · LASTENIA · CRUZ ALTA · TUCUMÁN",-65.1523569,-26.8689021
1202,"ESTABLECIMIENTO EDUCATIVO","ESCUELA DE ALDERETES",FALSE,"ALDERETES · CRUZ ALTA · TUCUMÁN",-65.1333313,-26.8166695
1203,"ESTATAL","AEROPUERTO DE CEVIL POZO (EN CONSTRUCCIÓN)",FALSE,"CEVIL POZO · CRUZ ALTA · TUCUMÁN",-65.1358338,-26.8486961
1204,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE NEUQUÉN",FALSE,"MTRO. JOAQUÍN GONZÁLEZ y MENDOZA (dirección actual) · NEUQUÉN · CONFLUENCIA · NEUQUÉN",-68.0548228,-38.9518998
1205,"POLICÍA PROVINCIAL","COMISARÍA 2ª DE NEUQUÉN",FALSE,"MONTEVIDEO y Av. CNEL. OLASCOAGA (dirección actual) · NEUQUÉN · CONFLUENCIA · NEUQUÉN",-68.0589717,-38.9604571
1206,"HOSPITAL MILITAR ( EJÉRCITO)","HOSPITAL MILITAR ""BAHÍA BLANCA""",FALSE,"FLORIDA 1450 · BAHÍA BLANCA · BUENOS AIRES",-62.265055,-38.6887929
1207,"POLICÍA PROVINCIAL","DIVISIÓN CUATRERISMO DE VILLA BORDEU",FALSE,"Ruta Nac. Nº 3 y Ruta Nac. Nº 35 _ Camino Sesquicentenario (a corroborar si CHILE y DONADO) · VILLA BORDEU · BAHÍA BLANCA · BUENOS AIRES",-62.2781775,-38.7313118
1208,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE BAHÍA BLANCA",FALSE,"BERUTTI 650 · BAHÍA BLANCA · BUENOS AIRES",-62.2632616,-38.7272297
1209,"ESTATAL","PLAYA DE MANIOBRAS DEL FCGR (VAGÓN DE FERROCARRIL)",FALSE,"Calle DANIEL CERRI (playa de maniobras del FCGR) · BAHÍA BLANCA · BUENOS AIRES",-62.2547669,-38.7261222
1210,"HOSPITAL MILITAR (ARMADA)","HOSPITAL NAVAL ""RÍO SANTIAGO""",FALSE,"Calle 129 entre 51 y límite con Berisso · ENSENADA · BUENOS AIRES",-57.9224574,-34.9010877
1211,"POLICÍA PROVINCIAL","COMISARÍA DE VEDIA",FALSE,"LEANDRO N. ALEM 273 (dirección actual) · VEDIA · LEANDRO N. ALEM · BUENOS AIRES",-61.3913566,-34.5195144
1212,"POLICÍA PROVINCIAL","COMISARÍA DE CHACABUCO",FALSE,"SAN JUAN 25 (dirección actual) · CHACABUCO · BUENOS AIRES",-60.4697671,-34.6406852
1213,"POLICÍA PROVINCIAL","COMISARÍA DE ROJAS",FALSE,"ALEM 637 (dirección actual) · ROJAS · BUENOS AIRES",-60.7355002,-34.2005726
1214,"POLICÍA PROVINCIAL","COMISARÍA 4ª DE ALTE. BROWN (LONGCHAMPS)",FALSE,"AVIACIÓN 461 · LONGCHAMPS · ALTE. BROWN · BUENOS AIRES",-58.3884521,-34.8561884
1215,"POLICÍA PROVINCIAL","COMISARÍA DE QUEQUÉN",FALSE,"Calle 527 Nº 2448 (dirección actual) · QUEQUÉN · NECOCHEA · BUENOS AIRES",-58.7089608,-38.555958
1216,"HOSPITAL PÚBLICO","HOSPITAL REGIONAL DE MAR DEL PLATA",FALSE,"Av. JUAN B. JUSTO 6701 · MAR DEL PLATA · GRAL. PUEYRREDÓN · BUENOS AIRES",-57.6019747,-37.9957514
1217,"POLICÍA PROVINCIAL","UNIDAD REGIONAL DE MAR DEL PLATA",FALSE,"ENTRE RÍOS 2499 (dirección actual) · MAR DEL PLATA · GRAL. PUEYRREDÓN · BUENOS AIRES",-57.5481326,-38.0079125
1218,"POLICÍA PROVINCIAL","COMISARÍA DE LOBERÍA",FALSE,"SARMIENTO 450 (dirección actual) · LOBERÍA · BUENOS AIRES",-58.7816955,-38.1634422
1219,"POLICÍA PROVINCIAL","DESTACAMENTO ""JORGE NEWBERY""",FALSE,"BOLÍVAR y ONÉSIMO LEGUIZAMÓN (dirección actual) · MAR DEL PLATA · GRAL. PUEYRREDÓN · BUENOS AIRES",-57.6137103,-37.970086
1220,"POLICÍA PROVINCIAL","DESTACAMENTO ""9 DE JULIO""",FALSE,"REPÚBLICA DEL LÍBANO 1130 · MAR DEL PLATA · GRAL. PUEYRREDÓN · BUENOS AIRES",-57.5842657,-37.9740168
1221,"ESTABLECIMIENTO EDUCATIVO","ESCUELA AGRÍCOLA Nº 2 ""IRENE MARTÍNEZ DE HOZ DE CAMPOS""",FALSE,"Ruta Prov. Nº 77 s/nº Km 5/500 · MIRAMAR · GRAL. ALVARADO · BUENOS AIRES",-57.9812906,-38.1643892
1223,"POLICÍA PROVINCIAL","COMISARÍA 2ª DE SAN NICOLÁS",FALSE,"Av. CENTRAL MALVINAS ARGENTINAS 2725 · Barrio Somisa · SAN NICOLÁS DE LOS ARROYOS · SAN NICOLÁS · BUENOS AIRES",-60.1763341,-33.3842322
1224,"POLICÍA PROVINCIAL","COMISARÍA DE BARADERO",FALSE,"GORRITI 1598 (dirección actual) · BARADERO · BUENOS AIRES",-59.5110163,-33.809979
1225,"POLICÍA PROVINCIAL","COMISARÍA DE COLÓN",FALSE,"Calle 18 y 51 (dirección actual) · COLÓN · BUENOS AIRES",-61.0998946,-33.8951324
1226,"POLICÍA PROVINCIAL","COMANDO RADIOELÉCTRICO / UNIDAD REGIONAL VII",FALSE,"GARIBALDI esq. PTE. ROCA · SAN NICOLÁS DE LOS ARROYOS · SAN NICOLÁS · BUENOS AIRES",-60.2211006,-33.3389561
1227,"PREFECTURA NAVAL","SUBPREFECTURA SAN PEDRO",FALSE,"25 DE MAYO 268 (dirección actual) · SAN PEDRO · BUENOS AIRES",-59.6636875,-33.674894
1228,"ESTABLECIMIENTO EDUCATIVO (ABANDONADO)","ESCUELA VIEJA EN CAMPOS SALLES",FALSE,"QUINTANA al 1500 (cercana a Ruta Nac. Nº 188) · CAMPOS SALLES · SAN NICOLÁS · BUENOS AIRES",-60.5494678,-33.8935432
1229,"SERVICIO PENITENCIARIO PROVINCIAL","UNIDAD PENAL 2 DE SANTIAGO DEL ESTERO (CÁRCEL DE MUJERES)",FALSE,"POSADAS y Av. MORENO (S) · SANTIAGO DEL ESTERO · CAPITAL · SANTIAGO DEL ESTERO",-64.2556035,-27.8012618
1230,"SIN ESTABLECER PROPIEDAD","CASA EN BARRIO ALCOHOLERA",FALSE,"Barrio Alcoholera · SAN NICOLÁS DE LOS ARROYOS · SAN NICOLÁS · BUENOS AIRES",-60.2110494,-33.3334669
1231,"EJÉRCITO (VIVIENDA)","CASA EN CERCANÍAS DE LA FÁBRICA ""PROTTO""",FALSE,"SAN NICOLÁS DE LOS ARROYOS · SAN NICOLÁS · BUENOS AIRES",-60.2110494,-33.3334669
1232,"POLICÍA PROVINCIAL","DESTACAMENTO ABANDONADO DE POLICÍA CAMINERA",FALSE,"Ruta Nac. Nº 201 Km 21 (frente a la Brigada Aérea I y al Colegio Militar) · EL PALOMAR · MORÓN · BUENOS AIRES",-58.6032115,-34.6108484
1233,"POLICÍA PROVINCIAL","COMISARÍA 9ª DE TRES DE FEBRERO (VILLA BOSCH)",FALSE,"SEGUNDO SOMBRA 5629 (dirección actual) · VILLA BOSCH · TRES DE FEBRERO · BUENOS AIRES",-58.5730932,-34.5865214
1234,"HOSPITAL PÚBLICO","HOSPITAL ""DR. ISIDORO IRIARTE""",FALSE,"ALLISON BELL 770 · QUILMES · BUENOS AIRES",-58.2462963,-34.7201179
1235,"POLICÍA PROVINCIAL","COMISARÍA DE MERCEDES",FALSE,"Calle 37 Nº 532 · MERCEDES · BUENOS AIRES",-59.4363329,-34.6504926
1236,"POLICÍA FEDERAL","COMISARÍA 7ª DE CAPITAL FEDERAL",FALSE,"LAVALLE 2625 · Balvanera · CAPITAL FEDERAL",-58.4040604,-34.6033
1237,"PARTICULAR (VIVIENDA O SIMILAR)","CASA CERCANA A CAMPO DE POLO DEL EJÉRCITO",FALSE,"Sobre Río Uruguay _ Costanera · CONCORDIA · ENTRE RÍOS",-58.0056107,-31.4042738
1238,"POLICÍA PROVINCIAL","COMISARÍA 2ª DE FORMOSA",FALSE,"Av. 25 DE MAYO y LIBERTAD · FORMOSA · FORMOSA",-58.1801206,-26.1872637
1239,"POLICÍA PROVINCIAL","COMISARÍA DE IBARRETA",FALSE,"DR. JORGE NEWBERY 723 · IBARRETA · PATIÑO · FORMOSA",-59.8532106,-25.2196006
1240,"POLICÍA PROVINCIAL","COMISARÍA DE CMTE. FONTANA",FALSE,"TOMÁS ROJAS y ANTÁRTIDA ARGENTINA · CMTE. FONTANA · PATIÑO · FORMOSA",-59.6815762,-25.3323756
1241,"POLICÍA PROVINCIAL","SUBCOMISARÍA DE TRES LAGUNAS",FALSE,"Av. N. ROMERO y J. D. PERÓN · TRES LAGUNAS · PILAGÁS · FORMOSA",-58.453278,-25.2514529
1242,"GENDARMERÍA NACIONAL","ESCUADRÓN 16 ""CLORINDA"" DE GENDARMERÍA NACIONAL",FALSE,"Av. SAN MARTÍN 1053 · CLORINDA · PILCOMAYO · FORMOSA",-57.7187032,-25.2862886
1243,"GENDARMERÍA NACIONAL","SECCIÓN ""LAGUNA BLANCA"" DE GENDARMERÍA NACIONAL",FALSE,"PARAGUAY s/nº · LAGUNA BLANCA · PILCOMAYO · FORMOSA",-58.1409859,-25.0722457
1244,"GENDARMERÍA NACIONAL","DESTACAMENTO ""EL ESPINILLO"" DE GENDARMERÍA NACIONAL",FALSE,"9 DE JULIO s/nº · Barrio Gendarmería · EL ESPINILLO · PILAGÁS · FORMOSA",-58.5518471,-24.9803469
1245,"PREFECTURA NAVAL","PREFECTURA FORMOSA",FALSE,"Av. 25 DE MAYO y Costanera · FORMOSA · FORMOSA",-58.167598,-26.1834388
1246,"POLICÍA PROVINCIAL","ALCAIDÍA DE MUJERES DE FORMOSA",FALSE,"FORTÍN YUNKA 260 · FORMOSA · FORMOSA",-58.1810412,-26.1810832
1247,"FUERZA AÉREA","CAMPO LAS LAJAS",FALSE,"Campo de tiro Base Aérea _ precordillera · LAS HERAS · MENDOZA                                                            BRIGADA AÉREA IV ""EL PLUMERILLO""",-68.7714556,-32.8331083
